Pollster Name,Methodology,Numeric Grade,Poll Score,Date Ended,Transparency Score,Question ID,Support,Election Date,Days to Election,State,Type of Voter,Candidate Favored,Percentage
University of Maryland/Washington Post,Online Panel,0.7,-0.5,2024-09-17,4,209460,57,2024-11-05,81,Illinois,rv,Terry,57
Embold Research,Text,0.7,-0.5,2024-08-22,2,209262,62,2024-11-05,60,Kansas,lv,Newsom,19
University of Houston/Texas Southern University,Online Ad,0.7,-0.5,2024-08-11,7,204347,7,2024-11-05,57,Montana,a,Oliver,49
Research Co.,Online Panel/Text-to-Web,2.7,-0.5,2024-08-16,8,210643,33,2024-11-05,73,New Mexico,v,Ayyadurai,84
Research Co.,Live Phone/Text-to-Web,0.7,1.5,2024-09-29,4,208705,13,2024-11-05,87,New Jersey,v,Terry,40
North Star Opinion Research,Live Phone/Text-to-Web,1.7,-1.5,2024-10-06,4,208787,37,2024-11-05,95,Texas,lv,Newsom,66
SurveyUSA/High Point University,Mail-to-Web/Mail-to-Phone,1.7,-0.5,2024-08-23,1,205057,26,2024-11-05,87,Alabama,v,Ayyadurai,84
Redfield & Wilton Strategies,IVR/Online Panel/Text-to-Web,2.7,-1.5,2024-09-07,10,208957,17,2024-11-05,47,Massachusetts,a,West,53
Siena,IVR,2.7,1.5,2024-09-09,1,207389,50,2024-11-05,28,Vermont,a,Whitmer,82
National Research,IVR/Online Panel/Text-to-Web,2.7,-1.5,2024-07-29,1,209229,64,2024-11-05,31,Oklahoma,a,Trump,66
Noble Predictive Insights,Online Panel/Text-to-Web,1.7,0.5,2024-09-24,7,206731,24,2024-11-05,75,Oklahoma,v,Whitmer,28
YouGov,Text-to-Web/Online Ad,1.7,1.5,2024-07-23,5,204375,59,2024-11-05,65,Indiana,v,Trump,87
Redfield & Wilton Strategies,Live Phone/Text-to-Web,0.7,-1.5,2024-08-12,6,205097,67,2024-11-05,92,Wisconsin,a,Stein,30
Gonzales Research & Media Services,Online Panel/Text-to-Web,2.7,1.5,2024-09-15,5,207280,8,2024-11-05,94,Arkansas,rv,Stein,12
Noble Predictive Insights,Probability Panel,0.7,0.5,2024-10-08,5,208494,66,2024-11-05,42,Rhode Island,lv,De la Cruz,37
Fabrizio/Impact,Live Phone/Email,2.7,-0.5,2024-09-05,4,211744,48,2024-11-05,79,Maine,a,Kishore,76
co/efficient,Online Ad,0.7,0.5,2024-08-28,5,211044,16,2024-11-05,88,Arkansas,lv,Terry,7
Siena/NYT,Live Phone/Online Panel,0.7,-1.5,2024-08-18,3,204489,2,2024-11-05,96,Utah,v,Ayyadurai,6
CWS Research,Text-to-Web/Online Ad,0.7,-0.5,2024-08-08,4,210195,14,2024-11-05,73,Alabama,rv,Newsom,74
Alaska Survey Research,Text-to-Web,0.7,1.5,2024-09-24,10,207478,60,2024-11-05,55,California,a,De la Cruz,57
Glengariff Group Inc.,IVR/Text-to-Web,0.7,-0.5,2024-09-01,7,208680,44,2024-11-05,74,Arizona,rv,Terry,97
Targoz Market Research,IVR,2.7,1.5,2024-09-08,9,208223,49,2024-11-05,87,North Carolina,rv,Ayyadurai,81
SurveyUSA/High Point University,IVR/Live Phone/Text/Online Panel/Email,1.7,-1.5,2024-09-17,1,210139,29,2024-11-05,33,Oklahoma,a,Shapiro,81
Alaska Survey Research,Live Phone/Email,1.7,-1.5,2024-07-27,10,206028,39,2024-11-05,105,Nevada,rv,Kishore,1
North Star Opinion Research,Live Phone/Email,0.7,-1.5,2024-08-15,9,207465,61,2024-11-05,70,Iowa,v,Trump,84
Mitchell,IVR,2.7,0.5,2024-08-30,10,211481,17,2024-11-05,82,Virginia,lv,Biden,26
Siena/NYT,Probability Panel,1.7,0.5,2024-10-04,7,211818,42,2024-11-05,32,Massachusetts,a,Shapiro,56
CNN/SSRS,Text-to-Web/Online Ad,1.7,1.5,2024-07-31,6,204271,58,2024-11-05,97,Minnesota,v,Trump,5
U. Georgia SPIA,Live Phone/Online Panel/Text-to-Web,0.7,0.5,2024-09-16,1,206611,34,2024-11-05,77,Nevada,lv,Trump,87
Redfield & Wilton Strategies,IVR/Live Phone/Text/Online Panel/Email,0.7,-1.5,2024-07-23,4,211904,9,2024-11-05,38,Pennsylvania,rv,Kishore,44
Data Orbital,Probability Panel,2.7,-0.5,2024-08-09,7,209919,57,2024-11-05,102,Alaska,lv,Newsom,17
Christopher Newport U.,Live Phone/Email,2.7,-1.5,2024-10-01,1,211788,10,2024-11-05,34,Florida,a,Trump,58
Lake Research,Online Ad,0.7,0.5,2024-08-20,3,210433,42,2024-11-05,70,New Mexico,a,Harris,38
Victory Insights,Mail-to-Web/Mail-to-Phone,2.7,-0.5,2024-09-07,9,206358,68,2024-11-05,63,Texas,a,West,38
CWS Research,Online Panel,2.7,-0.5,2024-08-13,9,206454,56,2024-11-05,28,Connecticut,rv,Newsom,74
St. Anselm,Live Phone/Online Panel/Text-to-Web,2.7,-1.5,2024-09-10,2,209624,6,2024-11-05,88,Indiana,rv,Whitmer,60
