Pollster Name,Methodology,State,sample_size,Type of Voter,Candidate Favored,Percentage
TIPP Insights,Online Panel,NA,997,lv,Cornel West,0
TIPP Insights,Online Panel,NA,997,lv,Jill Stein,0
YouGov,Online Panel,NA,1150,rv,Kamala Harris,46
YouGov,Online Panel,NA,1150,rv,Donald Trump,45
YouGov,Online Panel,NA,1150,rv,Cornel West,1
YouGov,Online Panel,NA,1150,rv,Jill Stein,1
YouGov,Online Panel,NA,1150,rv,Chase Oliver,1
YouGov,Online Panel,NA,1032,lv,Kamala Harris,47
YouGov,Online Panel,NA,1032,lv,Donald Trump,47
YouGov,Online Panel,NA,1032,lv,Cornel West,1
YouGov,Online Panel,NA,1032,lv,Jill Stein,1
YouGov,Online Panel,NA,1032,lv,Chase Oliver,1
YouGov,Online Panel,NA,1151,rv,Kamala Harris,48
YouGov,Online Panel,NA,1151,rv,Donald Trump,46
YouGov,Online Panel,NA,1033,lv,Kamala Harris,48
YouGov,Online Panel,NA,1033,lv,Donald Trump,47
Big Village,Online Panel,NA,1013,a,Kamala Harris,44.5
Big Village,Online Panel,NA,1013,a,Donald Trump,41.5
Big Village,Online Panel,NA,841,rv,Kamala Harris,48.7
Big Village,Online Panel,NA,841,rv,Donald Trump,44.6
Big Village,Online Panel,NA,755,lv,Kamala Harris,49.9
Big Village,Online Panel,NA,755,lv,Donald Trump,46.4
Morning Consult,Online Panel,NA,10454,lv,Kamala Harris,51
Morning Consult,Online Panel,NA,10454,lv,Donald Trump,45
Glengariff Group,Live Phone,Michigan,600,lv,Kamala Harris,46.8
Glengariff Group,Live Phone,Michigan,600,lv,Donald Trump,44.2
Glengariff Group,Live Phone,Michigan,600,lv,Robert F. Kennedy,4.7
Glengariff Group,Live Phone,Michigan,600,lv,Jill Stein,1.2
Glengariff Group,Live Phone,Michigan,600,lv,Cornel West,1.2
Glengariff Group,Live Phone,Michigan,600,lv,Chase Oliver,0.8
The New York Times/Siena College,Live Phone,Texas,617,lv,Kamala Harris,44
The New York Times/Siena College,Live Phone,Texas,617,lv,Donald Trump,50
The New York Times/Siena College,Live Phone,Texas,617,lv,Kamala Harris,42
The New York Times/Siena College,Live Phone,Texas,617,lv,Donald Trump,49
The New York Times/Siena College,Live Phone,Texas,617,lv,Jill Stein,2
The New York Times/Siena College,Live Phone,Texas,617,lv,Chase Oliver,2
Christopher Newport University Wason Center for Civic Leadership,Live Phone,Virginia,800,lv,Kamala Harris,52
Christopher Newport University Wason Center for Civic Leadership,Live Phone,Virginia,800,lv,Donald Trump,41
Data for Progress,Online Panel,NA,1211,lv,Kamala Harris,49
Data for Progress,Online Panel,NA,1211,lv,Donald Trump,46
Cygnal,NA,NA,1500,lv,Kamala Harris,47.2
Cygnal,NA,NA,1500,lv,Donald Trump,44.5
Cygnal,NA,NA,1500,lv,Robert F. Kennedy,2
Cygnal,NA,NA,1500,lv,Jill Stein,1
Cygnal,NA,NA,1500,lv,Cornel West,1
Cygnal,NA,NA,1500,lv,Chase Oliver,1
Cygnal,NA,NA,1500,lv,Kamala Harris,50.3
Cygnal,NA,NA,1500,lv,Donald Trump,47
Morning Consult,Online Panel,NA,10775,lv,Kamala Harris,50
Morning Consult,Online Panel,NA,10775,lv,Donald Trump,45
Impact Research,NA,Nebraska,600,lv,Kamala Harris,38
Impact Research,NA,Nebraska,600,lv,Donald Trump,58
RMG Research,Online Panel,NA,2965,lv,Kamala Harris,49
RMG Research,Online Panel,NA,2965,lv,Donald Trump,49
RMG Research,Online Panel,Nevada,782,lv,Kamala Harris,49
RMG Research,Online Panel,Nevada,782,lv,Donald Trump,49
Saint Anselm College Survey Center,Online Panel,New Hampshire,2104,lv,Kamala Harris,51
Saint Anselm College Survey Center,Online Panel,New Hampshire,2104,lv,Donald Trump,44
Saint Anselm College Survey Center,Online Panel,New Hampshire,2104,lv,Jill Stein,1
Saint Anselm College Survey Center,Online Panel,New Hampshire,2104,lv,Chase Oliver,1
Saint Anselm College Survey Center,Online Panel,New Hampshire,2104,lv,Cornel West,0
RMG Research,Online Panel,Arizona,783,lv,Kamala Harris,46
RMG Research,Online Panel,Arizona,783,lv,Donald Trump,50
Morning Consult,Online Panel,NA,11085,lv,Kamala Harris,50
Morning Consult,Online Panel,NA,11085,lv,Donald Trump,45
Redfield & Wilton Strategies,Online Panel,Arizona,555,lv,Kamala Harris,47
Redfield & Wilton Strategies,Online Panel,Arizona,555,lv,Donald Trump,48
Redfield & Wilton Strategies,Online Panel,Arizona,555,lv,Chase Oliver,1
Redfield & Wilton Strategies,Online Panel,Arizona,555,lv,Jill Stein,1
Redfield & Wilton Strategies,Online Panel,Florida,2946,lv,Kamala Harris,45
Redfield & Wilton Strategies,Online Panel,Florida,2946,lv,Donald Trump,49
Redfield & Wilton Strategies,Online Panel,Florida,2946,lv,Chase Oliver,1
Redfield & Wilton Strategies,Online Panel,Florida,2946,lv,Jill Stein,1
Redfield & Wilton Strategies,Online Panel,Georgia,3783,lv,Kamala Harris,47
Redfield & Wilton Strategies,Online Panel,Georgia,3783,lv,Donald Trump,47
Redfield & Wilton Strategies,Online Panel,Georgia,3783,lv,Chase Oliver,1
Redfield & Wilton Strategies,Online Panel,Georgia,3783,lv,Jill Stein,1
Redfield & Wilton Strategies,Online Panel,Michigan,839,lv,Kamala Harris,48
Redfield & Wilton Strategies,Online Panel,Michigan,839,lv,Donald Trump,46
Redfield & Wilton Strategies,Online Panel,Michigan,839,lv,Chase Oliver,1
Redfield & Wilton Strategies,Online Panel,Michigan,839,lv,Jill Stein,0
Redfield & Wilton Strategies,Online Panel,Minnesota,551,lv,Kamala Harris,51
Redfield & Wilton Strategies,Online Panel,Minnesota,551,lv,Donald Trump,43
Redfield & Wilton Strategies,Online Panel,Minnesota,551,lv,Chase Oliver,1
Redfield & Wilton Strategies,Online Panel,Minnesota,551,lv,Jill Stein,0
Redfield & Wilton Strategies,Online Panel,Nevada,514,lv,Kamala Harris,48
Redfield & Wilton Strategies,Online Panel,Nevada,514,lv,Donald Trump,47
Redfield & Wilton Strategies,Online Panel,Nevada,514,lv,Chase Oliver,1
Redfield & Wilton Strategies,Online Panel,Nevada,514,lv,Jill Stein,1
Redfield & Wilton Strategies,Online Panel,North Carolina,753,lv,Kamala Harris,45
Redfield & Wilton Strategies,Online Panel,North Carolina,753,lv,Donald Trump,47
Redfield & Wilton Strategies,Online Panel,North Carolina,753,lv,Chase Oliver,0
Redfield & Wilton Strategies,Online Panel,North Carolina,753,lv,Jill Stein,1
Redfield & Wilton Strategies,Online Panel,Pennsylvania,5686,lv,Kamala Harris,48
Redfield & Wilton Strategies,Online Panel,Pennsylvania,5686,lv,Donald Trump,47
Redfield & Wilton Strategies,Online Panel,Pennsylvania,5686,lv,Chase Oliver,1
Redfield & Wilton Strategies,Online Panel,Pennsylvania,5686,lv,Jill Stein,0
Redfield & Wilton Strategies,Online Panel,Wisconsin,533,lv,Kamala Harris,47
Redfield & Wilton Strategies,Online Panel,Wisconsin,533,lv,Donald Trump,46
Redfield & Wilton Strategies,Online Panel,Wisconsin,533,lv,Chase Oliver,1
Redfield & Wilton Strategies,Online Panel,Wisconsin,533,lv,Jill Stein,0
ActiVote,App Panel,NA,1000,lv,Kamala Harris,50.7
ActiVote,App Panel,NA,1000,lv,Donald Trump,49.3
ActiVote,App Panel,New Jersey,400,lv,Kamala Harris,56
ActiVote,App Panel,New Jersey,400,lv,Donald Trump,44
YouGov,Online Panel,NA,1463,rv,Kamala Harris,48
YouGov,Online Panel,NA,1463,rv,Donald Trump,45
YouGov,Online Panel,NA,1463,rv,Jill Stein,1
YouGov,Online Panel,NA,1463,rv,Cornel West,0
YouGov,Online Panel,NA,1261,lv,Kamala Harris,49
YouGov,Online Panel,NA,1261,lv,Donald Trump,46
YouGov,Online Panel,NA,1261,lv,Jill Stein,1
YouGov,Online Panel,NA,1261,lv,Cornel West,0
Emerson College,IVR/Online Panel/Text-to-Web,NA,1000,lv,Kamala Harris,50.2
Emerson College,IVR/Online Panel/Text-to-Web,NA,1000,lv,Donald Trump,48.6
Morning Consult,Online Panel,NA,11274,lv,Kamala Harris,50
Morning Consult,Online Panel,NA,11274,lv,Donald Trump,46
The Bullfinch Group,Online Panel,Nebraska,400,lv,Kamala Harris,42
The Bullfinch Group,Online Panel,Nebraska,400,lv,Donald Trump,53
Marist College,Live Phone/Online Panel/Text-to-Web,NA,1294,lv,Kamala Harris,50
Marist College,Live Phone/Online Panel/Text-to-Web,NA,1294,lv,Donald Trump,48
Marist College,Live Phone/Online Panel/Text-to-Web,NA,1514,rv,Kamala Harris,50
Marist College,Live Phone/Online Panel/Text-to-Web,NA,1514,rv,Donald Trump,47
"Fabrizio, Lee & Associates/Impact Research",Live Phone,Arizona,600,lv,Kamala Harris,47
"Fabrizio, Lee & Associates/Impact Research",Live Phone,Arizona,600,lv,Donald Trump,49
"Fabrizio, Lee & Associates/Impact Research",Live Phone,Arizona,600,lv,Jill Stein,1
"Fabrizio, Lee & Associates/Impact Research",Live Phone,Arizona,600,lv,Chase Oliver,0
"Fabrizio, Lee & Associates/Impact Research",Live Phone,Arizona,600,lv,Kamala Harris,48
"Fabrizio, Lee & Associates/Impact Research",Live Phone,Arizona,600,lv,Donald Trump,50
Susquehanna Polling & Research,NA,NA,1001,lv,Kamala Harris,49
Susquehanna Polling & Research,NA,NA,1001,lv,Donald Trump,44
Mitchell Research & Communications,Text-to-Web,Michigan,709,lv,Kamala Harris,48
Mitchell Research & Communications,Text-to-Web,Michigan,709,lv,Donald Trump,49
Mitchell Research & Communications,Text-to-Web,Michigan,709,lv,Kamala Harris,47
Mitchell Research & Communications,Text-to-Web,Michigan,709,lv,Donald Trump,47
Mitchell Research & Communications,Text-to-Web,Michigan,709,lv,Robert F. Kennedy,2
Mitchell Research & Communications,Text-to-Web,Michigan,709,lv,Jill Stein,1
Mitchell Research & Communications,Text-to-Web,Michigan,709,lv,Chase Oliver,1
Mitchell Research & Communications,Text-to-Web,Michigan,709,lv,Joseph Kishore,0
Mitchell Research & Communications,Text-to-Web,Michigan,709,lv,Randall A. Terry,0
Mitchell Research & Communications,Text-to-Web,Michigan,709,lv,Cornel West,0
InsiderAdvantage,Text,Arizona,800,lv,Kamala Harris,47.7
InsiderAdvantage,Text,Arizona,800,lv,Donald Trump,49.1
InsiderAdvantage,Text,Nevada,800,lv,Kamala Harris,48.4
InsiderAdvantage,Text,Nevada,800,lv,Donald Trump,49.3
InsiderAdvantage,Text,North Carolina,800,lv,Kamala Harris,49.3
InsiderAdvantage,Text,North Carolina,800,lv,Donald Trump,49.5
InsiderAdvantage,Text,Georgia,800,lv,Kamala Harris,48.3
InsiderAdvantage,Text,Georgia,800,lv,Donald Trump,48.1
Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,Wisconsin,1079,lv,Kamala Harris,46
Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,Wisconsin,1079,lv,Donald Trump,47.1
Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,Michigan,1086,lv,Kamala Harris,44.7
Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,Michigan,1086,lv,Donald Trump,46.9
WPA Intelligence,Live Phone,North Dakota,500,lv,Kamala Harris,32
WPA Intelligence,Live Phone,North Dakota,500,lv,Donald Trump,59
WPA Intelligence,Live Phone,North Dakota,500,lv,Chase Oliver,1
Morning Consult,Online Panel,NA,11568,lv,Kamala Harris,50
Morning Consult,Online Panel,NA,11568,lv,Donald Trump,46
ActiVote,App Panel,New York,400,lv,Kamala Harris,60.6
ActiVote,App Panel,New York,400,lv,Donald Trump,39.4
ActiVote,App Panel,Ohio,400,lv,Kamala Harris,46.4
ActiVote,App Panel,Ohio,400,lv,Donald Trump,53.6
ActiVote,App Panel,Indiana,400,lv,Kamala Harris,43
ActiVote,App Panel,Indiana,400,lv,Donald Trump,57
OnMessage,NA,Pennsylvania,800,lv,Kamala Harris,47
OnMessage,NA,Pennsylvania,800,lv,Donald Trump,47
Redfield & Wilton Strategies,Online Panel,NA,1616,lv,Kamala Harris,48
Redfield & Wilton Strategies,Online Panel,NA,1616,lv,Donald Trump,46
Redfield & Wilton Strategies,Online Panel,NA,1616,lv,Robert F. Kennedy,1
Redfield & Wilton Strategies,Online Panel,NA,1616,lv,Chase Oliver,0
Redfield & Wilton Strategies,Online Panel,NA,1616,lv,Jill Stein,0
Patriot Polling,IVR,Pennsylvania,816,rv,Kamala Harris,49
Patriot Polling,IVR,Pennsylvania,816,rv,Donald Trump,50
Morning Consult,Online Panel,NA,11381,lv,Kamala Harris,51
Morning Consult,Online Panel,NA,11381,lv,Donald Trump,46
Alaska Survey Research,Probability Panel,Alaska,1182,lv,Kamala Harris,43
Alaska Survey Research,Probability Panel,Alaska,1182,lv,Donald Trump,52
Alaska Survey Research,Probability Panel,Alaska,1182,lv,Robert F. Kennedy,6
Leger,NA,NA,837,lv,Kamala Harris,51
Leger,NA,NA,837,lv,Donald Trump,47
Leger,NA,NA,888,rv,Kamala Harris,50
Leger,NA,NA,888,rv,Donald Trump,48
Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,Pennsylvania,1090,lv,Kamala Harris,45.3
Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,Pennsylvania,1090,lv,Donald Trump,47.5
HighGround,Live Phone,Arizona,500,lv,Kamala Harris,47.6
HighGround,Live Phone,Arizona,500,lv,Donald Trump,45.4
The Bullfinch Group,NA,Pennsylvania,800,rv,Kamala Harris,50
The Bullfinch Group,NA,Pennsylvania,800,rv,Donald Trump,46
The Bullfinch Group,NA,Pennsylvania,800,rv,Kamala Harris,50
The Bullfinch Group,NA,Pennsylvania,800,rv,Donald Trump,46
The Bullfinch Group,NA,Pennsylvania,800,rv,Jill Stein,1
The Bullfinch Group,NA,Pennsylvania,800,rv,Chase Oliver,0
The Washington Post,Live Phone/Text-to-Web,North Carolina,1001,lv,Kamala Harris,48
The Washington Post,Live Phone/Text-to-Web,North Carolina,1001,lv,Donald Trump,50
The Washington Post,Live Phone/Text-to-Web,North Carolina,1001,rv,Kamala Harris,47
The Washington Post,Live Phone/Text-to-Web,North Carolina,1001,rv,Donald Trump,50
Quinnipiac University,Live Phone,North Carolina,953,lv,Kamala Harris,47
Quinnipiac University,Live Phone,North Carolina,953,lv,Donald Trump,49
Quinnipiac University,Live Phone,North Carolina,953,lv,Jill Stein,1
Quinnipiac University,Live Phone,North Carolina,953,lv,Chase Oliver,0
Quinnipiac University,Live Phone,North Carolina,953,lv,Cornel West,1
Quinnipiac University,Live Phone,North Carolina,953,lv,Randall A. Terry,0
Quinnipiac University,Live Phone,North Carolina,953,lv,Kamala Harris,48
Quinnipiac University,Live Phone,North Carolina,953,lv,Donald Trump,49
Quinnipiac University,Live Phone,Georgia,942,lv,Kamala Harris,44
Quinnipiac University,Live Phone,Georgia,942,lv,Donald Trump,50
Quinnipiac University,Live Phone,Georgia,942,lv,Jill Stein,0
Quinnipiac University,Live Phone,Georgia,942,lv,Chase Oliver,1
Quinnipiac University,Live Phone,Georgia,942,lv,Cornel West,1
Quinnipiac University,Live Phone,Georgia,942,lv,Claudia De La Cruz,1
Quinnipiac University,Live Phone,Georgia,942,lv,Kamala Harris,45
Quinnipiac University,Live Phone,Georgia,942,lv,Donald Trump,50
National Research,Live Phone/Text-to-Web,Arizona,600,lv,Kamala Harris,47
National Research,Live Phone/Text-to-Web,Arizona,600,lv,Donald Trump,46
Global Strategy Group/North Star Opinion Research,NA,Arizona,400,lv,Kamala Harris,47
Global Strategy Group/North Star Opinion Research,NA,Arizona,400,lv,Donald Trump,47
Global Strategy Group/North Star Opinion Research,NA,Arizona,400,lv,Robert F. Kennedy,0
Global Strategy Group/North Star Opinion Research,NA,Arizona,400,lv,Chase Oliver,1
Global Strategy Group/North Star Opinion Research,NA,Arizona,400,lv,Jill Stein,2
Global Strategy Group/North Star Opinion Research,NA,Arizona,400,lv,Cornel West,0
Global Strategy Group/North Star Opinion Research,NA,Arizona,400,lv,Kamala Harris,48
Global Strategy Group/North Star Opinion Research,NA,Arizona,400,lv,Donald Trump,47
Global Strategy Group/North Star Opinion Research,NA,Georgia,400,lv,Kamala Harris,46
Global Strategy Group/North Star Opinion Research,NA,Georgia,400,lv,Donald Trump,47
Global Strategy Group/North Star Opinion Research,NA,Georgia,400,lv,Robert F. Kennedy,2
Global Strategy Group/North Star Opinion Research,NA,Georgia,400,lv,Chase Oliver,0
Global Strategy Group/North Star Opinion Research,NA,Georgia,400,lv,Jill Stein,1
Global Strategy Group/North Star Opinion Research,NA,Georgia,400,lv,Cornel West,0
Global Strategy Group/North Star Opinion Research,NA,Georgia,400,lv,Kamala Harris,47
Global Strategy Group/North Star Opinion Research,NA,Georgia,400,lv,Donald Trump,47
Global Strategy Group/North Star Opinion Research,NA,Michigan,404,lv,Kamala Harris,46
Global Strategy Group/North Star Opinion Research,NA,Michigan,404,lv,Donald Trump,48
Global Strategy Group/North Star Opinion Research,NA,Michigan,404,lv,Robert F. Kennedy,2
Global Strategy Group/North Star Opinion Research,NA,Michigan,404,lv,Chase Oliver,0
Global Strategy Group/North Star Opinion Research,NA,Michigan,404,lv,Jill Stein,0
Global Strategy Group/North Star Opinion Research,NA,Michigan,404,lv,Cornel West,1
Global Strategy Group/North Star Opinion Research,NA,Michigan,404,lv,Kamala Harris,47
Global Strategy Group/North Star Opinion Research,NA,Michigan,404,lv,Donald Trump,49
Global Strategy Group/North Star Opinion Research,NA,Nevada,407,lv,Kamala Harris,47
Global Strategy Group/North Star Opinion Research,NA,Nevada,407,lv,Donald Trump,47
Global Strategy Group/North Star Opinion Research,NA,Nevada,407,lv,Robert F. Kennedy,0
Global Strategy Group/North Star Opinion Research,NA,Nevada,407,lv,Chase Oliver,2
Global Strategy Group/North Star Opinion Research,NA,Nevada,407,lv,Jill Stein,0
Global Strategy Group/North Star Opinion Research,NA,Nevada,407,lv,Cornel West,0
Global Strategy Group/North Star Opinion Research,NA,Nevada,407,lv,Kamala Harris,48
Global Strategy Group/North Star Opinion Research,NA,Nevada,407,lv,Donald Trump,47
Global Strategy Group/North Star Opinion Research,NA,North Carolina,401,lv,Kamala Harris,47
Global Strategy Group/North Star Opinion Research,NA,North Carolina,401,lv,Donald Trump,47
Global Strategy Group/North Star Opinion Research,NA,North Carolina,401,lv,Robert F. Kennedy,0
Global Strategy Group/North Star Opinion Research,NA,North Carolina,401,lv,Chase Oliver,0
Global Strategy Group/North Star Opinion Research,NA,North Carolina,401,lv,Jill Stein,0
Global Strategy Group/North Star Opinion Research,NA,North Carolina,401,lv,Cornel West,0
Global Strategy Group/North Star Opinion Research,NA,North Carolina,401,lv,Kamala Harris,47
Global Strategy Group/North Star Opinion Research,NA,North Carolina,401,lv,Donald Trump,48
Global Strategy Group/North Star Opinion Research,NA,Pennsylvania,408,lv,Kamala Harris,47
Global Strategy Group/North Star Opinion Research,NA,Pennsylvania,408,lv,Donald Trump,47
Global Strategy Group/North Star Opinion Research,NA,Pennsylvania,408,lv,Robert F. Kennedy,0
Global Strategy Group/North Star Opinion Research,NA,Pennsylvania,408,lv,Chase Oliver,1
Global Strategy Group/North Star Opinion Research,NA,Pennsylvania,408,lv,Jill Stein,0
Global Strategy Group/North Star Opinion Research,NA,Pennsylvania,408,lv,Cornel West,0
Global Strategy Group/North Star Opinion Research,NA,Pennsylvania,408,lv,Kamala Harris,48
Global Strategy Group/North Star Opinion Research,NA,Pennsylvania,408,lv,Donald Trump,48
Global Strategy Group/North Star Opinion Research,NA,Wisconsin,408,lv,Kamala Harris,46
Global Strategy Group/North Star Opinion Research,NA,Wisconsin,408,lv,Donald Trump,45
Global Strategy Group/North Star Opinion Research,NA,Wisconsin,408,lv,Robert F. Kennedy,2
Global Strategy Group/North Star Opinion Research,NA,Wisconsin,408,lv,Chase Oliver,1
Global Strategy Group/North Star Opinion Research,NA,Wisconsin,408,lv,Jill Stein,0
Global Strategy Group/North Star Opinion Research,NA,Wisconsin,408,lv,Cornel West,1
Global Strategy Group/North Star Opinion Research,NA,Wisconsin,408,lv,Kamala Harris,48
Global Strategy Group/North Star Opinion Research,NA,Wisconsin,408,lv,Donald Trump,46
Winthrop University Center for Public Opinion & Policy Research,Live Phone/Online Panel,South Carolina,1068,lv,Kamala Harris,42
Winthrop University Center for Public Opinion & Policy Research,Live Phone/Online Panel,South Carolina,1068,lv,Donald Trump,51.6
High Point University Survey Research Center,Online Panel,North Carolina,814,rv,Kamala Harris,48
